code,name,market,volume_ratio,price_change_pct,score
361610,SK아이이테크놀로지,KOSPI,32.38,29.95,47.36
052690,한전기술,KOSPI,10.35,13.63,17.16
014620,성광벤드,KOSDAQ,5.46,13.55,12.23
020560,아시아나항공,KOSPI,6.51,6.34,9.67
023160,태광,KOSDAQ,5.01,9.17,9.6
326030,SK바이오팜,KOSPI,4.44,8.53,8.71
047040,대우건설,KOSPI,3.51,8.4,7.71
000720,현대건설,KOSPI,3.4,7.5,7.15
128940,한미약품,KOSPI,3.94,5.79,6.83
015760,한국전력,KOSPI,3.4,6.42,6.61
003490,대한항공,KOSPI,2.59,7.03,6.11
034020,두산에너빌리티,KOSPI,2.67,6.32,5.83
044490,태웅,KOSDAQ,2.27,6.66,5.6
232140,와이씨,KOSDAQ,2.49,4.44,4.71
