code,name,market,price,volume_ratio,price_change_pct,score
356680,엑스게이트,KOSDAQ,16060,15.62,29.94,30.59
252990,샘씨엔에스,KOSDAQ,15780,3.99,13.12,10.55
023590,다우기술,KOSPI,40700,5.92,5.71,8.77
437730,삼현,KOSDAQ,42300,3.86,9.44,8.58
376900,로킷헬스케어,KOSDAQ,31300,2.35,11.79,8.25
443060,HD현대마린솔루션,KOSPI,247000,3.78,7.63,7.59
012630,HDC,KOSPI,28450,3.92,4.02,5.93
044490,태웅,KOSDAQ,39350,2.46,6.64,5.78
053800,안랩,KOSDAQ,59300,3.67,3.85,5.6
059090,미코,KOSDAQ,20600,2.36,6.4,5.56
329180,HD현대중공업,KOSPI,479000,2.74,5.62,5.55
052690,한전기술,KOSPI,152000,2.12,4.83,4.54
